datetime,J [mm/hr],Q [mm/hr],Storage [mm],Cl_obs [umol/L],D_obs [per mil],Cl_inj [umol/L],D_inj [per mil],L [mm/hr]
2014-09-08 01:15:00,12.257953021316796,12.090652631578967,404.67020766666667,,,13.699999999999996,-58.75,404.67020766666667
2014-09-08 01:30:00,0.0,11.733557894736853,402.8930945333333,,,13.699999999999996,-58.75,402.8930945333333
2014-09-08 01:45:00,0.0,10.087326315789483,399.9853265333334,,,13.699999999999996,-58.75,399.9853265333334
2014-09-08 02:00:00,0.0,8.788799999999988,397.59390846666673,1164.27,-60.057739,13.699999999999996,-58.75,397.59390846666673
2014-09-08 02:15:00,0.0,7.937431578947373,395.4303633999999,,,13.699999999999996,-58.75,395.4303633999999
2014-09-08 02:30:00,0.0,7.133600000000016,393.39515513333333,,,13.699999999999996,-58.75,393.39515513333333
2014-09-08 02:45:00,0.0,6.4809347368421015,391.50634460000003,,,13.699999999999996,-58.75,391.50634460000003
2014-09-08 03:00:00,0.0,5.853532631578939,389.7652698,717.222,-59.150566,13.699999999999996,-58.75,389.7652698
2014-09-08 03:15:00,0.0,5.456816842105265,388.17517886666667,,,13.699999999999996,-58.75,388.17517886666667
2014-09-08 03:30:00,0.0,5.241010526315791,386.75299053333333,,,13.699999999999996,-58.75,386.75299053333333
2014-09-08 03:45:00,0.0,4.994374736842107,385.5040773333333,,,13.699999999999996,-58.75,385.5040773333333
2014-09-08 04:00:00,0.0,4.809397894736842,384.32119346666667,632.158,-59.317909,13.699999999999996,-58.75,384.32119346666667
2014-09-08 04:15:00,0.0,4.624421052631577,383.1684229333334,,,13.699999999999996,-58.75,383.1684229333334
2014-09-08 04:30:00,0.0,4.470273684210525,382.01436406666664,,,13.699999999999996,-58.75,382.01436406666664
2014-09-08 04:45:00,0.0,4.316126315789474,380.95438153333333,,,13.699999999999996,-58.75,380.95438153333333
2014-09-08 05:00:00,0.0,4.161978947368423,379.95687173333323,513.7602,-59.244629,13.699999999999996,-58.75,379.95687173333323
2014-09-08 05:15:00,0.0,4.069490526315792,378.9842348666667,,,13.699999999999996,-58.75,378.9842348666667
2014-09-08 05:30:00,0.0,3.9153431578947395,378.0304329333333,,,13.699999999999996,-58.75,378.0304329333333
2014-09-08 05:45:00,0.0,3.8536842105263185,377.12385900000004,,,13.699999999999996,-58.75,377.12385900000004
2014-09-08 06:00:00,0.0,3.730366315789477,376.2189112666667,413.5548,-58.235879,13.699999999999996,-58.75,376.2189112666667
2014-09-08 06:15:00,0.0,3.637877894736845,375.3486782,,,13.699999999999996,-58.75,375.3486782
2014-09-08 06:30:00,0.0,3.113776842105262,374.50614626666663,,,13.699999999999996,-58.75,374.50614626666663
2014-09-08 06:45:00,0.0,2.9288,373.6960670000001,,,13.699999999999996,-58.75,373.6960670000001
2014-09-08 07:00:00,0.0,2.8363115789473685,372.89091220000006,350.088,-59.441944,13.699999999999996,-58.75,372.89091220000006
2014-09-08 07:15:00,0.0,2.774652631578948,372.0890086,,,13.699999999999996,-58.75,372.0890086
2014-09-08 07:30:00,0.0,2.712993684210527,371.3277443333333,,,13.699999999999996,-58.75,371.3277443333333
2014-09-08 07:45:00,0.0,2.6513347368421067,370.6427644000001,,,13.699999999999996,-58.75,370.6427644000001
2014-09-08 08:00:00,0.0,2.6205052631578956,369.8586885333333,319.504,-59.805418,13.699999999999996,-58.75,369.8586885333333
2014-09-08 08:15:00,0.0,2.5280168421052647,369.0905937333333,,,13.699999999999996,-58.75,369.0905937333333
2014-09-08 08:30:00,0.0,2.4355284210526333,368.40242,,,13.699999999999996,-58.75,368.40242
2014-09-08 08:45:00,0.0,2.4355284210526333,367.71905719999995,,,13.699999999999996,-58.75,367.71905719999995
2014-09-08 09:00:00,16.289816690172866,2.373869473684213,369.5639844666666,303.3698,-57.219215,13.699999999999996,-58.75,369.5639844666666
2014-09-08 09:15:00,14.631022581556966,2.4355284210526333,372.75039833333335,,,13.699999999999996,-58.75,372.75039833333335
2014-09-08 09:30:00,13.453034486925258,2.5280168421052647,375.7360988,,,13.699999999999996,-58.75,375.7360988
2014-09-08 09:45:00,13.043824240251459,2.743823157894737,378.4115814,,,13.699999999999996,-58.75,378.4115814
2014-09-08 10:00:00,12.94191294644958,3.0212884210526307,381.0499835999999,297.5107,-59.743579,13.699999999999996,-58.75,381.0499835999999
2014-09-08 10:15:00,12.699916567704998,3.3912421052631587,383.52328726666667,,,13.699999999999996,-58.75,383.52328726666667
2014-09-08 10:30:00,12.921428806669454,4.223637894736842,385.8632346666667,,,13.699999999999996,-58.75,385.8632346666667
2014-09-08 10:45:00,12.93349789018399,4.901886315789473,388.0492674,,,13.699999999999996,-58.75,388.0492674
2014-09-08 11:00:00,12.760393614495385,5.438618947368421,390.0518224666667,446.8252,-60.103884,13.699999999999996,-58.75,390.0518224666667
2014-09-08 11:15:00,13.096116581918197,6.207536842105253,391.95867,,,13.699999999999996,-58.75,391.95867
2014-09-08 11:30:00,12.835136636542835,6.900505263157913,393.67914060000004,,,13.699999999999996,-58.75,393.67914060000004
2014-09-08 11:45:00,13.268485050244216,7.582846315789484,395.24109486666663,,,13.699999999999996,-58.75,395.24109486666663
2014-09-08 12:00:00,24.717096045764972,8.29048421052631,398.1689655333333,612.774,-60.606436,13.699999999999996,-58.75,398.1689655333333
2014-09-08 12:15:00,24.688440363781616,10.087326315789477,402.3600866666668,,,13.699999999999996,-58.75,402.3600866666668
2014-09-08 12:30:00,24.61672481388013,12.674315789473697,405.90208880000006,,,13.699999999999996,-58.75,405.90208880000006
2014-09-08 12:45:00,24.83230189114946,15.356210526315794,408.8140707333333,,,13.699999999999996,-58.75,408.8140707333333
2014-09-08 13:00:00,24.811649265966672,17.38117894736843,411.17982279999995,705.304,-58.903961,13.699999999999996,-58.75,411.17982279999995
2014-09-08 13:15:00,24.07157317021978,18.837094736842097,413.06125506666666,,,13.699999999999996,-58.75,413.06125506666666
2014-09-08 13:30:00,0.0,16.65688421052632,410.9973692,,,13.699999999999996,-58.75,410.9973692
2014-09-08 13:45:00,0.0,11.399536842105261,407.4376586000001,,,13.699999999999996,-58.75,407.4376586000001
2014-09-08 14:00:00,0.0,10.11978947368422,404.6803149333333,468.2065,-60.229754,13.699999999999996,-58.75,404.6803149333333
2014-09-08 14:15:00,0.0,9.34067368421052,402.23938019999997,,,13.699999999999996,-58.75,402.23938019999997
2014-09-08 14:30:00,0.0,8.626484210526305,399.9843714,,,13.699999999999996,-58.75,399.9843714
2014-09-08 14:45:00,0.0,7.896496842105268,397.9149046,,,13.699999999999996,-58.75,397.9149046
2014-09-08 15:00:00,0.0,7.273456842105281,395.99917039999997,449.2852,-60.649807,13.699999999999996,-58.75,395.99917039999997
2014-09-08 15:15:00,0.0,6.574172631578951,394.21592039999996,,,13.699999999999996,-58.75,394.21592039999996
2014-09-08 15:30:00,0.0,6.027376842105249,392.5552296666667,,,13.699999999999996,-58.75,392.5552296666667
2014-09-08 15:45:00,0.0,5.6180294736842065,390.98846299999997,,,13.699999999999996,-58.75,390.98846299999997
2014-09-08 16:00:00,0.0,5.271840000000002,389.51875,491.5581,-58.763271,13.699999999999996,-58.75,389.51875
2014-09-08 16:15:00,0.0,5.086863157894739,388.1248970666667,,,13.699999999999996,-58.75,388.1248970666667
2014-09-08 16:30:00,0.0,4.840227368421052,386.76036993333327,,,13.699999999999996,-58.75,386.76036993333327
2014-09-08 16:45:00,0.0,4.686079999999999,385.41227319999996,,,13.699999999999996,-58.75,385.41227319999996
2014-09-08 17:00:00,0.0,4.531932631578946,384.15304453333334,509.0045,-58.194246,13.699999999999996,-58.75,384.15304453333334
2014-09-08 17:15:00,0.0,4.377785263157895,382.9150373333333,,,13.699999999999996,-58.75,382.9150373333333
2014-09-08 17:30:00,0.0,4.2544673684210546,381.7160998666667,,,13.699999999999996,-58.75,381.7160998666667
2014-09-08 17:45:00,0.0,4.131149473684213,380.5892512000001,,,13.699999999999996,-58.75,380.5892512000001
2014-09-08 18:00:00,0.0,4.038661052631581,379.5606894666666,517.9613,-60.194668,13.699999999999996,-58.75,379.5606894666666
2014-09-08 18:15:00,0.0,3.9153431578947395,378.57765980000005,,,13.699999999999996,-58.75,378.57765980000005
2014-09-08 18:30:00,0.0,3.7611957894736876,377.65427733333325,,,13.699999999999996,-58.75,377.65427733333325
2014-09-08 18:45:00,0.0,3.668707368421056,376.77405059999995,,,13.699999999999996,-58.75,376.77405059999995
2014-09-08 19:00:00,0.0,3.576218947368423,375.9551942666667,524.2193,-59.1,13.699999999999996,-58.75,375.9551942666667
2014-09-08 19:15:00,0.0,3.3912421052631583,375.1556856666666,,,13.699999999999996,-58.75,375.1556856666666
2014-09-08 19:30:00,0.0,2.867141052631579,374.37449026666667,,,13.699999999999996,-58.75,374.37449026666667
2014-09-08 19:45:00,0.0,2.805482105263158,373.6192139333333,,,13.699999999999996,-58.75,373.6192139333333
2014-09-08 20:00:00,0.0,2.7746526315789475,372.88926926666664,524.7377,-60.140785,13.699999999999996,-58.75,372.88926926666664
2014-09-08 20:15:00,0.0,2.6821642105263166,372.1601668,,,13.699999999999996,-58.75,372.1601668
2014-09-08 20:30:00,0.0,2.6513347368421067,371.38764199999997,,,13.699999999999996,-58.75,371.38764199999997
2014-09-08 20:45:00,0.0,2.558846315789475,370.65089480000006,,,13.699999999999996,-58.75,370.65089480000006
2014-09-08 21:00:00,28.474869498574137,2.466357894736844,374.00614053333345,510.7925,-59.490076,13.699999999999996,-58.75,374.00614053333345
2014-09-08 21:15:00,26.245138897683667,2.6513347368421067,380.2494990666667,,,13.699999999999996,-58.75,380.2494990666667
2014-09-08 21:30:00,25.495988283261468,3.1137768421052643,386.08536166666664,,,13.699999999999996,-58.75,386.08536166666664
2014-09-08 21:45:00,25.35313371945428,5.019637894736841,391.55749446666664,,,13.699999999999996,-58.75,391.55749446666664
2014-09-08 22:00:00,25.49039667384385,7.591258947368422,396.4855676,572.887,-60.086573,13.699999999999996,-58.75,396.4855676
2014-09-08 22:15:00,25.36713117109295,9.795157894736843,400.8378870666666,,,13.699999999999996,-58.75,400.8378870666666
2014-09-08 22:30:00,13.24700579353515,11.158610526315783,403.1519300666667,,,13.699999999999996,-58.75,403.1519300666667
2014-09-08 22:45:00,12.706565159789818,11.061221052631568,403.71848520000003,,,13.699999999999996,-58.75,403.71848520000003
2014-09-08 23:00:00,12.730074139128028,11.191073684210522,404.3094153999999,674.3524,-61.171215,13.699999999999996,-58.75,404.3094153999999
2014-09-08 23:15:00,12.803943143129713,11.32092631578948,404.8741442,,,13.699999999999996,-58.75,404.8741442
2014-09-08 23:30:00,12.917495725468703,11.580631578947395,405.40296513333334,,,13.699999999999996,-58.75,405.40296513333334
2014-09-08 23:45:00,12.944366515177279,11.872800000000023,405.896538,,,13.699999999999996,-58.75,405.896538
2014-09-09 00:00:00,13.071770440716943,12.058189473684228,406.35276386666663,647.4729,-61.022374,13.699999999999996,-58.75,406.35276386666663
2014-09-09 00:15:00,12.87147551630733,12.257263157894746,406.7465973999999,,,13.699999999999996,-58.75,406.7465973999999
2014-09-09 00:30:00,13.124291817232445,12.567410526315784,407.1018277333333,,,13.699999999999996,-58.75,407.1018277333333
2014-09-09 00:45:00,13.312505811499378,12.678484210526301,407.4198741333333,,,13.699999999999996,-58.75,407.4198741333333
2014-09-09 01:00:00,13.069476143349556,12.89381052631577,407.73383886666664,682.6232,-61.658329,13.699999999999996,-58.75,407.73383886666664
2014-09-09 01:15:00,12.782919323534639,13.144210526315781,407.9085072666667,,,13.699999999999996,-58.75,407.9085072666667
2014-09-09 01:30:00,0.0,12.277810526315788,406.0571525333334,,,13.699999999999996,-58.75,406.0571525333334
2014-09-09 01:45:00,0.0,10.119789473684223,403.0840016666667,,,13.699999999999996,-58.75,403.0840016666667
